Error percent: 1.9646522184314108	Epsilon:1/1000	Domain Size: 50 	Integration Evaluation: 5.058747273205466	 Time: 1.0879064480463663
Error percent: 1.9675061428588965	Epsilon:1/10000	Domain Size: 50 	Integration Evaluation: 5.073713581414401	 Time: 1.049160091082255
Error percent: 1.9708805891746235	Epsilon:1/1000	Domain Size: 50 	Integration Evaluation: 5.091409566321812	 Time: 1.1261658986409506
Error percent: 1.9681547146097638	Epsilon:1/10000	Domain Size: 50 	Integration Evaluation: 5.077114766332125	 Time: 1.1176428238550822
Error percent: 1.01801898486771	Epsilon:1/1000	Domain Size: 50 	Integration Evaluation: I	 Time: 1.114853596687317
Error percent: 1.01801898486771	Epsilon:1/100000	Domain Size: 50 	Integration Evaluation: I	 Time: 1.2458060026168822
Error percent: 1.01801898486771	Epsilon:1/100000	Domain Size: 50 	Integration Evaluation: I	 Time: 0.7928611278533936
Error percent: 1.01801898486771	Epsilon:1/100000	Domain Size: 50 	Integration Evaluation: I	 Time: 0.77447988986969
Error percent: 1.01801898486771	Epsilon:1/1000000	Domain Size: 50 	Integration Evaluation: I	 Time: 0.7650031526883443
Error percent: 1.01801898486771	Epsilon:1/1000000	Domain Size: 100 	Integration Evaluation: I	 Time: 1.0080055157343546
Error percent: 1.01801898486771	Epsilon:1/100000	Domain Size: 100 	Integration Evaluation: I	 Time: 1.0493348677953085
Error percent: 1.01801898486771	Epsilon:1/100000	Domain Size: 100 	Integration Evaluation: I	 Time: 0.6823778430620829
Error percent: 1.01801898486771	Epsilon:1/100000	Domain Size: 100 	Integration Evaluation: I	 Time: 0.6751439332962036
Error percent: 1.01801898486771	Epsilon:1/100000	Domain Size: 100 	Integration Evaluation: I	 Time: 0.8539641539255778
Error percent: 2.152897152500285	Epsilon:1/100000	Domain Size: 100 	Integration Evaluation: 6.045925376070492	 Time: 0.8491855939229329
Error percent: 88.5413137716186	Epsilon:1/100000	Domain Size: 200 	Integration Evaluation: -469.56495639222715	 Time: 1.0857582449913026
Error percent: 88.54131581685998	Epsilon:1/10000000	Domain Size: 200 	Integration Evaluation: -469.56496711770836	 Time: 1.118786871433258
Error percent: 88.54152226678794	Epsilon:1/10000000	Domain Size: 500 	Integration Evaluation: -469.56604976489473	 Time: 2.536180237929026
Error percent: 88.54108873633199	Epsilon:1/10000000	Domain Size: 100 	Integration Evaluation: -469.56377628128064	 Time: 0.863874367872874
Error percent: 88.80508547799204	Epsilon:1/1000000000000	Domain Size: 100 	Integration Evaluation: -470.9482055828371	 Time: 0.9581764419873555
Error percent: 88.80508547796691	Epsilon:1/100000000000000000	Domain Size: 100 	Integration Evaluation: -470.9482055827054	 Time: 0.9767387708028158
Error percent: 88.8050854779581	Epsilon:1/10000000000000000000000	Domain Size: 100 	Integration Evaluation: -470.94820558265917	 Time: 1.0456059575080872
Error percent: 88.54108873633199	Epsilon:1/10000000	Domain Size: 100 	Integration Evaluation: -469.56377628128064	 Time: 0.8853620847066244
Error percent: 88.54108873633199	Epsilon:1/10000000	Domain Size: 100 	Integration Evaluation: -469.56377628128064	 Time: 0.9078450123469035
Error percent: 87.70581702363742	Epsilon:1/10000000	Domain Size: 100 	Integration Evaluation: -465.183515272966	 Time: 1.261444584528605
Error percent: 87.70581702363742	Epsilon:1/10000000	Domain Size: 100 	Integration Evaluation: -465.183515272966	 Time: 1.2392427444458007
Error percent: 178.16177180587397	Epsilon:1/100000	Domain Size: 100 	Integration Evaluation: -939.5449544079054	 Time: 1.145245651404063
Error percent: 357.38604058405633	Epsilon:1/100000	Domain Size: 100 	Integration Evaluation: -1879.4176501325342	 Time: 1.237415866057078
Error percent: 178.16177180587397	Epsilon:1/100000	Domain Size: 100 	Integration Evaluation: -939.5449544079054	 Time: 0.9290250341097513
Error percent: 87.70573938453009	Epsilon:1/10000000000	Domain Size: 100 	Integration Evaluation: -465.18310812455024	 Time: 1.0362141887346903
Error percent: 87.70573950467185	Epsilon:1/10000000000000000	Domain Size: 100 	Integration Evaluation: -465.1831087545875	 Time: 1.017896536986033
Error percent: 1.9128786988110922	Epsilon:1/10000000000000000	Domain Size: 100 	Integration Evaluation: 4.787240976739969	 Time: 0.8697857777277629
Error percent: 1.9128786988110922	Epsilon:1/10000000000000000	Domain Size: 100 	Integration Evaluation: 4.787240976739969	 Time: 0.8493572314580281
Error percent: 1.9128786988110922	Epsilon:1/10000000000000000	Domain Size: 100 	Integration Evaluation: 4.787240976739969	 Time: 0.8470517079035441
Error percent: 1.9128786988110922	Epsilon:1/10000000000000000	Domain Size: 100 	Integration Evaluation: 4.787240976739969	 Time: 0.8474439104398092
Error percent: 1.9128786988110922	Epsilon:1/10000000000000000	Domain Size: 100 	Integration Evaluation: 4.787240976739969	 Time: 0.8468695163726807
Error percent: 1.9128786988110922	Epsilon:1/10000000000000000	Domain Size: 100 	Integration Evaluation: 4.787240976739969	 Time: 0.8473177035649617
Error percent: 1.9128786988110922	Epsilon:1/10000000000000000	Domain Size: 100 	Integration Evaluation: 4.787240976739969	 Time: 0.8465009490648906
Error percent: 88.54290281487395	Epsilon:1/10000000000000000	Domain Size: 200 	Integration Evaluation: -469.57328951797075	 Time: 1.3472471555074057
Error percent: 88.54290281487395	Epsilon:1/10000000000000000	Domain Size: 200 	Integration Evaluation: -469.57328951797075	 Time: 1.3016756614049276
Error percent: 88.54290281487395	Epsilon:1/10000000000000000	Domain Size: 200 	Integration Evaluation: -469.57328951797075	 Time: 1.2999830047289531
Error percent: 88.54290281487395	Epsilon:1/10000000000000000	Domain Size: 200 	Integration Evaluation: -469.57328951797075	 Time: 1.299398672580719
Error percent: 88.54290281487395	Epsilon:1/10000000000000000	Domain Size: 200 	Integration Evaluation: -469.57328951797075	 Time: 1.3006918668746947
Error percent: 63377448.38468858	Epsilon:1/10000000000000000	Domain Size: 200 	Integration Evaluation: -332358639.86177826	 Time: 0.5163354674975077
Error percent: 61.562814598000706	Epsilon:1/10000	Domain Size: 200 	Integration Evaluation: -328.0866012689301	 Time: 2.0088109175364175
Error percent: 0.18539369925021817	Epsilon:1/10000	Domain Size: 200 	Integration Evaluation: -4.2718892093098475	 Time: 2.07449258963267
Error percent: 0.18558960821968482	Epsilon:1/10000	Domain Size: 100 	Integration Evaluation: -4.27086184012316	 Time: 1.0253324906031291
Error percent: 0.18558960821968482	Epsilon:1/10000	Domain Size: 100 	Integration Evaluation: -4.27086184012316	 Time: 1.0008795499801635
Error percent: 0.18558960821968482	Epsilon:1/10000	Domain Size: 100 	Integration Evaluation: -4.27086184012316	 Time: 1.0007862448692322
Error percent: 0.18558960821968482	Epsilon:1/10000	Domain Size: 100 	Integration Evaluation: -4.27086184012316	 Time: 1.0004632234573365
Error percent: 0.18558960821968482	Epsilon:1/10000	Domain Size: 100 	Integration Evaluation: -4.27086184012316	 Time: 1.001273802916209
Error percent: 0.18558960821968482	Epsilon:1/10000	Domain Size: 100 	Integration Evaluation: -4.27086184012316	 Time: 1.000654157002767
Error percent: 0.18558960821968482	Epsilon:1/10000	Domain Size: 100 	Integration Evaluation: -4.27086184012316	 Time: 1.0003918687502542
Error percent: 0.18558960821968482	Epsilon:1/10000	Domain Size: 100 	Integration Evaluation: -4.27086184012316	 Time: 1.0004777153333029
Error percent: 1.0000000003934293	Epsilon:1/100000	Domain Size: 100 	Integration Evaluation: 2.0631887309718877e-09	 Time: 0.10233136415481567
Error percent: 1.0000000003934293	Epsilon:1/100000	Domain Size: 100 	Integration Evaluation: 2.0631887309718877e-09	 Time: 0.0795306126276652
Error percent: 1.0000000003934293	Epsilon:1/100000	Domain Size: 100 	Integration Evaluation: 2.0631887309718877e-09	 Time: 0.07945759693781534
Error percent: 1.0000000003934293	Epsilon:1/100000	Domain Size: 100 	Integration Evaluation: 2.0631887309718877e-09	 Time: 0.0794826626777649
Error percent: 1.0000000003934293	Epsilon:1/100000	Domain Size: 100 	Integration Evaluation: 2.0631887309718877e-09	 Time: 0.07963152329126993
Error percent: 1.0000000003934293	Epsilon:1/100000	Domain Size: 100 	Integration Evaluation: 2.0631887309718877e-09	 Time: 0.07955874999364217
Error percent: 1.0000000003934293	Epsilon:1/100000	Domain Size: 100 	Integration Evaluation: 2.0631887309718877e-09	 Time: 0.07947130997975667
Error percent: 1.0000000003934293	Epsilon:1/100000	Domain Size: 100 	Integration Evaluation: 2.0631887309718877e-09	 Time: 0.07943355242411296
Error percent: 1.0000000003934293	Epsilon:1/100000	Domain Size: 100 	Integration Evaluation: 2.0631887309718877e-09	 Time: 0.07952087720235189
Error percent: 1.0000000003934293	Epsilon:1/100000	Domain Size: 200 	Integration Evaluation: 2.0631887309718877e-09	 Time: 0.18116534948349
Error percent: 1.0000000003934293	Epsilon:1/100000	Domain Size: 200 	Integration Evaluation: 2.0631887309718877e-09	 Time: 0.13888166348139444
Error percent: 1.0000000003934293	Epsilon:1/100000	Domain Size: 200 	Integration Evaluation: 2.0631887309718877e-09	 Time: 0.13794966538747153
Error percent: 1.0000000003934293	Epsilon:1/100000	Domain Size: 200 	Integration Evaluation: 2.0631887309718877e-09	 Time: 0.13791051705678303
Error percent: 1.0000000003934293	Epsilon:1/100000	Domain Size: 200 	Integration Evaluation: 2.0631887309718877e-09	 Time: 0.1380574345588684
